"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:BOP(21.0.0)","THA.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Thailand","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","-85.6262292045746","-79.1172478919088","-106.0778961822124","-49.5748086095774","-51.36233995286431","-186.8276809778417","-288.2218829844033","-188.7381781927582","-348.1721564081104","-400.4366563959305","-162.3406591104931","-261.4406138013196","-181.990740986658","-1081.232804176954","-1725.783863601941","-2303.372617882209","-1846.887341437892","-1966.467656327282","-1570.95686950906","-873.410596532849","-1182.374911550162","-1404.634019952815","-3314.970532252905","-7184.69175257408","-5756.929984636131","-3388.964331176098","-4639.46717690992","-3170.876704554837","-4609.377096034886","-5783.59458661601","-7664.20169920001","-7876.71148599999","-7086.8884567","-6221.859990999989","-415.179561499989","-6615.34392180001","4702.082849900001","1361.534445826299","-3814.466006199037","766.299562532647","-3936.528344158417","9906.454564723903","5896.855331724503","3380.091960535046","4629.404019040506","22900.02319921528","4020.19810210367","-4049.298759802291","7159.400751129209","-1961.80730661485"
"IMF.STA:BOP(21.0.0)","THA.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Thailand","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.324875752735538","1.029406571084314","-0.049019360527823","-75.67296837812064","-180.3134234591265","-95.96462878866907","-44.27096208154414","-68.39095929445023","-108.0864111926272","-155.4982534201176","-894.975570386862","29.48532475388257","-345.8608662154755","-530.0712742937563","-1486.22684844336","38.08899559974952","81.0577502256146","-924.359851850994","-5455.296730813602","-2661.452933861322","-4121.073974615956","-3698.230128728724","-4494.812609114894","-355.2843535059763","111.3358445635427","705.725821456431","885.655311626696","1607.725958176602","88.25492830039","-3087.620265638352","-6493.767039700001","-4912.1887394","3910.211870799978","-159.37013979997","429.038549400011","-4870.25614640001","-6163.2601549","-3398.281659791487","4766.363947614656","12012.82603380552","16508.1350759673","2797.621810093325","2151.55027749808","5760.452385815739","8798.24834717406","11948.1178407808","11966.12643628252","-5780.206318610403","13727.54850593473","19976.68355319069"
"IMF.STA:BOP(21.0.0)","THA.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Thailand","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","-520.7743097697136","-459.5074855878281","-1053.916251348228","-1384.599581062651","-2065.942316654922","-2249.883902089507","-2428.28568313977","-1524.644481613786","-2285.727598237659","-2036.62124224407","-1433.557781158304","845.647165306457","-117.0798328290944","-1254.583490398731","-1576.948745805211","-5869.891103906956","-7141.95881777799","-6445.040541159169","-6593.786807839082","-7998.10074763944","-14691.51858086613","-17319.34532868926","-6241.32701993506","11459.2652884488","12461.24509982709","8628.83363068676","4777.734982380557","6077.195473639628","4904.615768926132","2048.639873166351","-2434.997349399994","5352.87404949999","17285.52749660001","7404.277092799991","22740.54213209999","7751.552903800008","9482.7472883","-7525.285206230046","-2561.106430733268","14744.5033329425","22658.13799977762","33039.11964694858","36428.2139405227","19565.07614208973","30077.27322578297","33438.93088876388","-48.799419513768","-16914.4043193871","14423.81061610156","27295.00677049756"
"IMF.STA:BOP(21.0.0)","DOM.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Dominican Republic","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","-70.0","-67.4","-118.7","-89.1","-79.9","-46.2","-240.0","-141.7","-200.7","-145.4","-243.99334501075","-404.5","-672.3","-441.0","-471.7","-397.4","-132.3","49.4","-133.9","-157.0","28.7","-384.9","-414.7","392.7","-137.12","-293.7","-867.6","-106.8","-96.1","-355.6","-675.3","-908.2","-1642.9","-1188.29","-930.5","-524.54","100.22","-894.68","-1161.11","-1586.4","-4407.51","-2111.5","-4983.4","-3749.6","-4033.0354423","-2937.3","-3109.4","-740.8","-1561.0","-1390.1","-2237.8","-2012.0","-2201.800000000001","-3091.587109733294","-6191.7","-5260.8","-5037.7"
"IMF.STA:BOP(21.0.0)","DOM.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Dominican Republic","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","-23.0","-40.9","-71.6","-65.0","-43.5","-34.5","-53.6","-63.9","-60.0","-71.5","-63.6","-17.1","-92.7","-79.7","1.4","-48.2","-68.5","-36.2","-50.0","-89.0","-106.1","-110.0","-132.8","-145.0","-179.7","-189.3","-206.8","-414.3","-96.5","-420.6","-699.8","-1337.8","-952.9","-1079.1","-916.8","-612.99","-909.04","-1122.7","-1084.6","-1667.4","-2870.0","-2165.4","-2023.7","-2276.7","-3142.4","-1990.5","-2208.5","-2204.9","-2406.7","-3570.7","-2535.3","-3021.0","-2559.6","-3196.8","-4098.8","-4390.2","-4523.2"
"IMF.STA:BOP(21.0.0)","DOM.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Dominican Republic","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-481.0","2.9","7.3","7.5","21.3","436.8","-264.5","-603.7","25.7","-543.84","24.27","-244.05","-773.75","-949.1","349.8","332.6","-759.5","-745.9999999999999","446.2","-1786.7","-1482.4","-3457.7","-1729.3","-1756.7","-2696.1","-2177.6","-5620.1","-2061.0","-3257.7","-2412.8","-2249.0"
"IMF.STA:BOP(21.0.0)","URY.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Uruguay","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","35.7","11.8","-3.1","-77.6","-28.3","-62.5","-221.4","-91.9","-183.0","-164.2","-129.8","-107.8","-47.4","-83.4","-29.3","-158.1","-288.8","-179.9","-209.6","-419.4","-83.9","-191.4308","-507.707576147186","-328.59691411","311.04315466","422.2493154318686","-805.8876123114482","-1686.38866992","-1150.528098243363","557.802730271832","821.22815836","682.56760773","-1975.81549308","135.8193440100732","-1863.618834920487","-233.718927568645","1231.923779876383","1721.499105502658","-2170.47117745531","-1470.715314039931","1035.705754256046","1498.383165831125","1095.258149543934","1845.308527588457","1304.368527327417","-2412.001990290241"
"IMF.STA:BOP(21.0.0)","URY.NNAFANIL_T.FAB.USD.A","OBS_VALUE","Uruguay","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Financial account balance (assets less liabilities)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","-368.0","-619.6","-622.7","-1502.7","-315.5","-252.2","220.1","228.8","-235.4","-224.8","74.7","234.5","515.0","234.4","-35.6","-427.9","-194.5","-80.8","-208.5","-184.3","-252.6","-543.0986612831707","-212.5821869709811","-2047.609193636081","953.942636707852","387.510592605218","-127.9626939627311","-536.886590076543","-496.04126566625","-864.90363604133","404.417119483124","-1417.682155484417","-1625.7664014596","-1526.850693765236","-1766.016279471095","-1454.652521133403","-554.23531311005","204.413450007566","915.178371375557","-539.790717860793","162.1176492889907","526.377661907783","-187.5595866637675","-2575.669032532736","-2001.70767424591","607.213764941856"
"IMF.STA:BOP(21.0.0)","URY.NNAFANIL_T.D_F.USD.A","OBS_VALUE","Uruguay","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-128.8","-215.5","-289.5","-48.6","13.7","-5.6","-3.4","7.9","-32.5","-55.0","-44.5","0.0","0.0","0.0","0.0","-101.5","-154.5","-156.6","-136.8","-113.2","-154.8","-235.3","-267.8086","-290.6313143050308","-180.0078839140748","-401.330992555116","-314.6523303575964","-811.140545585916","-1494.52293665692","-1240.075740695132","-2116.600570639647","-1512.181816429424","-2348.781860803632","-2510.898656282192","-2240.230848591383","-3045.142182593305","-2247.271202766378","-774.7001697429897","1823.407171079881","2037.341253713937","729.237270921472","-1362.426046297597","-1093.834845546346","-2545.753145058143","-2878.803603914437","-2838.720608502193","2382.38789764675"
"IMF.STA:BOP(21.0.0)","COD.NNAFANIL_T.P_F.USD.A","OBS_VALUE","Congo, Democratic Republic of the","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4","413.2","1833.6","1574.9","1189.4","3237.4","2142.70917289428","3532.43643731736","3.35525026438632","13.6434496114458","94.1481458011543","13.2206908897669","10.5912905753475","38.28275769963382","70.2127690137119","39.44515270607575","47.98159586120359","34.8164792527791","3.356414659914547","14.41964384704304"
