"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:MFS_IR(8.0.1)","G163.MFS166_RT_PT_A_PT.A","OBS_VALUE","Euro Area (EA)","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","4.75","3.25","2.75","2.0","2.0","2.25","3.5","4.0","2.5","1.0","1.0","1.0","","","0.3","","","","","","","","","",""
"IMF.STA:MFS_IR(8.0.1)","BGR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Bulgaria","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.26","4.58","5.77","0.55","0.18","0.22","0.03","0.02","0.02","0.01","0.0","0.0","0.0","0.0","0.0","0.0","1.3","3.8","3.04"
"IMF.STA:MFS_IR(8.0.1)","MEX.MFS166_RT_PT_A_PT.A","OBS_VALUE","Mexico","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.25","6.12","8.75","8.27","7.02","7.57","8.25","4.5","4.5","4.5","4.5","3.5","3.0","3.25","5.75","7.25","8.25","7.25","4.25","5.5","10.5","11.25","10.0"
"IMF.STA:MFS_IR(8.0.1)","MYS.MFS166_RT_PT_A_PT.A","OBS_VALUE","Malaysia","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","4.5","2.7","3.0","3.5","3.5","3.25","2.0","2.75","3.0","3.0","3.0","3.25","3.25","3.0","3.0","3.25","3.0","1.75","1.75","2.75","3.0","3.0"
"IMF.STA:MFS_IR(8.0.1)","BLZ.MFS166_RT_PT_A_PT.A","OBS_VALUE","Belize","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","10.0","14.0","14.5","13.5","11.5","12.0","20.0","12.0","12.0","10.0","12.0","12.0","12.0","12.0","12.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","18.0","18.0","18.0","18.0","18.0","18.0","18.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0","11.0"
"IMF.STA:MFS_IR(8.0.1)","ISR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Israel","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","15.2","13.4","13.5","11.2","8.2","5.6571","9.1","5.2","3.9","4.5","5.0","4.0","2.5","1.0","2.0","2.75","2.0","1.0","0.25","0.0999999642372131","0.0999999791383743","0.1","0.25","0.25","0.1","0.1","3.25","4.75","4.5"
"IMF.STA:MFS_IR(8.0.1)","TUR.MFS166_RT_PT_A_PT.A","OBS_VALUE","Türkiye, Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.36","46.77","26.87","62.72","59.87","67.77","69.63","92.04","106.31","73.99","78.04","78.97","69.97","183.2","59.0","44.0","26.0","18.0","13.5","17.5","15.96","15.63","6.5","1.63044","5.0","5.0","3.5","7.5","7.25","7.25","7.25","22.5","10.5","15.5","12.5","7.5","41.0","46.0"
"IMF.STA:MFS_IR(8.0.1)","AFG.MFS166_RT_PT_A_PT.A","OBS_VALUE","Afghanistan, Islamic Republic of","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","1.82","0.16","0.152","0.5","0.807","","","",""
"IMF.STA:MFS_IR(8.0.1)","GEO.MFS166_RT_PT_A_PT.A","OBS_VALUE","Georgia","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","5.0","7.5","6.75","5.25","3.75","4.0","8.0","6.5","7.25","7.0","9.0","8.0","","11.0","9.5","8.0"
"IMF.STA:MFS_IR(8.0.1)","COL.MFS166_RT_PT_A_PT.A","OBS_VALUE","Colombia","Monetary policy-related, Rate, Percent per annum","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0","27.0","26.0","12.0","12.0","8.5","5.25","7.25","6.5","6.0","7.5","9.5","9.5","3.5","3.0","4.75","4.25","3.25","4.5","5.75","7.5","4.75","4.25","4.25","1.75","3.0","12.0","13.0","9.5"
